name,User_Rating,Reviews,Genre_Type
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,4.5,22641,Self-Help
Killing Jesus (Bill O'Reilly's Killing Series),4.5,11391,Religious Biography
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,4.3,13061,Cookbook
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,4.3,13616,Religious Biography
Magnolia Table: A Collection of Recipes for Gathering,4.8,9867,Cookbook
Alexander Hamilton,4.8,9198,Biography
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.8,23358,Biography
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.8,29673,Biography
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",4.8,9737,Childrens
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",4.8,23047,Childrens
Being Mortal: Medicine and What Matters in the End,4.8,11113,Self-Help
The 5 Love Languages: The Secret to Love that Lasts,4.8,25554,Self-Help
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",4.8,12361,Self-Help
Becoming,4.8,61133,Autobiography
Can't Hurt Me: Master Your Mind and Defy the Odds,4.8,16244,Autobiography
When Breath Becomes Air,4.8,13779,Autobiography
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),4.6,11128,Cookbook
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),4.6,10927,Biography
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),4.6,10369,Self-Help
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",4.6,22288,Self-Help
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,4.6,10141,Self-Help
Outliers: The Story of Success,4.6,10426,Self-Help
Quiet: The Power of Introverts in a World That Can't Stop Talking,4.6,10009,Self-Help
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.6,9325,Self-Help
The Power of Habit: Why We Do What We Do in Life and Business,4.6,10795,Self-Help
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.6,26490,Self-Help
"Thinking, Fast and Slow",4.6,11034,Psychology
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,4.6,15921,Autobiography
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,4.4,15526,Autobiography
Wild: From Lost to Found on the Pacific Crest Trail,4.4,17044,Autobiography
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),4.9,19576,Religious Childrens
Fire and Fury: Inside the Trump White House,4.2,13677,Biography
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,4.7,9292,Humor
Milk and Honey,4.7,17739,Poetry
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,4.7,11550,Finance
10-Day Green Smoothie Cleanse,4.7,17350,Cookbook
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,4.7,9030,Cookbook
The Immortal Life of Henrietta Lacks,4.7,9289,Biography
First 100 Words,4.7,17323,Childrens
P is for Potty! (Sesame Street) (Lift-the-Flap),4.7,10820,Childrens
12 Rules for Life: An Antidote to Chaos,4.7,18979,Self-Help
How to Win Friends & Influence People,4.7,25001,Self-Help
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,4.7,10199,Self-Help
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,23308,Self-Help
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,4.7,14331,Self-Help
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),4.7,9342,Historical
Astrophysics for People in a Hurry,4.7,9374,Non-fiction
Between the World and Me,4.7,10070,Autobiography
Educated: A Memoir,4.7,28729,Autobiography
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,4.7,15779,Christian Lit
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",4.7,9366,Adult Coloring Book
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",4,23973,Fantasy
Gone Girl,4,57271,Mystery
Little Fires Everywhere,4.5,25706,Drama
The Maze Runner (Book 1),4.5,10101,Fantasy
The Guardians: A Novel,4.5,13609,Mystery
The Silent Patient,4.5,27536,Mystery
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),4.5,20262,Romance
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),4.5,13964,Romance
Sycamore Row (Jake Brigance),4.5,23114,Thriller
Divergent / Insurgent,4.5,17684,Dystopian
Mockingjay (The Hunger Games),4.5,26741,Dystopian
Winter of the World: Book Two of the Century Trilogy,4.5,10760,Historical
Origin: A Novel (Robert Langdon),4.3,18904,Mystery
The President Is Missing: A Novel,4.3,10191,Thriller
The Racketeer,4.3,14493,Thriller
The Handmaid's Tale,4.3,29442,Dystopian
And the Mountains Echoed,4.3,12159,Historical
Harry Potter Paperback Box Set (Books 1-7),4.8,13471,Fantasy
Where the Crawdads Sing,4.8,87841,Mystery
Dear Zoo: A Lift-the-Flap Book,4.8,10922,Childrens
Giraffes Can't Dance,4.8,14038,Childrens
If Animals Kissed Good Night,4.8,16643,Childrens
Love You Forever,4.8,18613,Childrens
The Wonky Donkey,4.8,30183,Childrens
Wonder,4.8,21625,Childrens
The Hunger Games Trilogy Boxed Set (1),4.8,16949,Dystopian
Player's Handbook (Dungeons & Dragons),4.8,16990,Reference
The Help,4.8,13871,Historical
The Nightingale: A Novel,4.8,49288,Historical
To Kill a Mockingbird,4.8,26234,Historical
Inferno,4.1,29651,Mystery
The Girl on the Train,4.1,79446,Thriller
A Man Called Ove: A Novel,4.6,23848,Fiction
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,4.6,11098,Christian
The Shack: Where Tragedy Confronts Eternity,4.6,19720,Christian
Divergent,4.6,27098,Dystopian
Fahrenheit 451,4.6,10721,Dystopian
Ready Player One: A Novel,4.6,22536,Dystopian
All the Light We Cannot See,4.6,36348,Historical
Orphan Train,4.6,21930,Historical
The Book Thief,4.6,23148,Historical
A Dance with Dragons (A Song of Ice and Fire),4.4,12643,Fantasy
Fifty Shades Darker,4.4,23631,Romance
Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),4.4,25624,Romance
The Girl with the Dragon Tattoo (Millennium Series),4.4,10559,Thriller
The Great Gatsby,4.4,11616,Historical
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",4.9,19622,Fantasy
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",4.9,10052,Fantasy
"Brown Bear, Brown Bear, What Do You See?",4.9,14344,Childrens
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children’s Book)",4.9,11881,Childrens
"Oh, the Places You'll Go!",4.9,21834,Childrens
The Very Hungry Caterpillar,4.9,19546,Childrens
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),4.9,12619,Graphic Novel
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,4.7,19735,Fantasy
The Alchemist,4.7,35799,Fantasy
"Twilight (The Twilight Saga, Book 1)",4.7,11676,Fantasy
The Art of Racing in the Rain: A Novel,4.7,11813,Fiction
The Fault in Our Stars,4.7,50482,Romance
Doctor Sleep: A Novel,4.7,15845,Thriller
1984 (Signet Classics),4.7,21424,Dystopian
Catching Fire (The Hunger Games),4.7,22614,Dystopian
The Hunger Games,4.7,32122,Dystopian
The Hunger Games (Book 1),4.7,32122,Dystopian
A Gentleman in Moscow: A Novel,4.7,19699,Historical
The Martian,4.7,39459,Science Fiction
